"","LATITUDE","LONGITUDE","barfly_pr"
"787",10.2956233,77.3659587,1
"791",11.4184433,76.71354,1
"795",11.4011624,76.7050892,1
"808",10.1322453,77.0559614,1
"874",10.064862,77.066746,1
"875",10.054669,77.072383,1
"893",10.093093,77.0593071,1
"894",10.0870398,77.0607662,1
"896",11.3951225,76.6874466,1
"898",11.3958,76.68815,1
"899",10.12537,77.05374,1
